Numero de documentos del corpus: 3888
Numero de palabras del corpus: 342305
Palabra:academia	Frec:0	LogProb:0.000002515489124282771
Palabra:academic	Frec:3	LogProb:0.000010061956497131085
Palabra:academically	Frec:0	LogProb:0.000002515489124282771
Palabra:academician	Frec:0	LogProb:0.000002515489124282771
Palabra:academicians	Frec:0	LogProb:0.000002515489124282771
Palabra:academics	Frec:0	LogProb:0.000002515489124282771
Palabra:academies	Frec:0	LogProb:0.000002515489124282771
Palabra:academy	Frec:2	LogProb:0.000007546467372848313
Palabra:acadia	Frec:0	LogProb:0.000002515489124282771
Palabra:acai	Frec:1	LogProb:0.000005030978248565542
Palabra:acaro	Frec:0	LogProb:0.000002515489124282771
Palabra:acc	Frec:2	LogProb:0.000007546467372848313
Palabra:accedental	Frec:1	LogProb:0.000005030978248565542
Palabra:accelerate	Frec:1	LogProb:0.000005030978248565542
Palabra:accelerated	Frec:1	LogProb:0.000005030978248565542
Palabra:accelerates	Frec:2	LogProb:0.000007546467372848313
Palabra:accelerating	Frec:0	LogProb:0.000002515489124282771
Palabra:acceleration	Frec:12	LogProb:0.000032701358615676025
Palabra:accelerator	Frec:1	LogProb:0.000005030978248565542
Palabra:accelerometer	Frec:11	LogProb:0.000030185869491393252
Palabra:accelerometers	Frec:1	LogProb:0.000005030978248565542
Palabra:accent	Frec:5	LogProb:0.000015092934745696626
Palabra:accented	Frec:2	LogProb:0.000007546467372848313
Palabra:accenting	Frec:0	LogProb:0.000002515489124282771
Palabra:accents	Frec:5	LogProb:0.000015092934745696626
Palabra:accentuate	Frec:0	LogProb:0.000002515489124282771
Palabra:accentuated	Frec:0	LogProb:0.000002515489124282771
Palabra:accentuates	Frec:0	LogProb:0.000002515489124282771
Palabra:accenture	Frec:0	LogProb:0.000002515489124282771
Palabra:accept	Frec:4	LogProb:0.000012577445621413855
Palabra:acceptable	Frec:2	LogProb:0.000007546467372848313
Palabra:acceptance	Frec:2	LogProb:0.000007546467372848313
Palabra:accepted	Frec:0	LogProb:0.000002515489124282771
Palabra:accepting	Frec:2	LogProb:0.000007546467372848313
Palabra:accepts	Frec:7	LogProb:0.00002012391299426217
Palabra:accesories	Frec:1	LogProb:0.000005030978248565542
Palabra:accesory	Frec:1	LogProb:0.000005030978248565542
Palabra:access	Frec:291	LogProb:0.0007345228242905692
Palabra:accessand	Frec:1	LogProb:0.000005030978248565542
Palabra:accessed	Frec:5	LogProb:0.000015092934745696626
Palabra:accesses	Frec:0	LogProb:0.000002515489124282771
Palabra:accessib	Frec:0	LogProb:0.000002515489124282771
Palabra:accessibility	Frec:9	LogProb:0.00002515489124282771
Palabra:accessible	Frec:22	LogProb:0.000057856249858503736
Palabra:accessibly	Frec:1	LogProb:0.000005030978248565542
Palabra:accessing	Frec:15	LogProb:0.00004024782598852434
Palabra:accession	Frec:0	LogProb:0.000002515489124282771
Palabra:accessories	Frec:194	LogProb:0.0004905203792351404
Palabra:accessoriescreate	Frec:0	LogProb:0.000002515489124282771
Palabra:accessoriesnote	Frec:0	LogProb:0.000002515489124282771
Palabra:accessoriesoccasion	Frec:0	LogProb:0.000002515489124282771
Palabra:accessoriesperfect	Frec:0	LogProb:0.000002515489124282771
Palabra:accessorise	Frec:0	LogProb:0.000002515489124282771
Palabra:accessorising	Frec:0	LogProb:0.000002515489124282771
Palabra:accessorize	Frec:1	LogProb:0.000005030978248565542
Palabra:accessory	Frec:106	LogProb:0.0002691573362982565
Palabra:accezory	Frec:0	LogProb:0.000002515489124282771
Palabra:accident	Frec:6	LogProb:0.000017608423869979397
Palabra:accidental	Frec:32	LogProb:0.00008301114110133145
Palabra:accidentally	Frec:11	LogProb:0.000030185869491393252
Palabra:accidently	Frec:0	LogProb:0.000002515489124282771
Palabra:accidentmodern	Frec:0	LogProb:0.000002515489124282771
Palabra:accidents	Frec:19	LogProb:0.00005030978248565542
Palabra:acclaim	Frec:0	LogProb:0.000002515489124282771
Palabra:acclaimed	Frec:9	LogProb:0.00002515489124282771
Palabra:acclimated	Frec:1	LogProb:0.000005030978248565542
Palabra:accolades	Frec:0	LogProb:0.000002515489124282771
Palabra:accommodate	Frec:25	LogProb:0.00006540271723135205
Palabra:accommodated	Frec:7	LogProb:0.00002012391299426217
Palabra:accommodates	Frec:19	LogProb:0.00005030978248565542
Palabra:accommodating	Frec:1	LogProb:0.000005030978248565542
Palabra:accommodation	Frec:0	LogProb:0.000002515489124282771
Palabra:accommodations	Frec:0	LogProb:0.000002515489124282771
Palabra:accomodating	Frec:0	LogProb:0.000002515489124282771
Palabra:accompanied	Frec:5	LogProb:0.000015092934745696626
Palabra:accompanies	Frec:3	LogProb:0.000010061956497131085
Palabra:accompaniment	Frec:3	LogProb:0.000010061956497131085
Palabra:accompaniments	Frec:0	LogProb:0.000002515489124282771
Palabra:accompany	Frec:2	LogProb:0.000007546467372848313
Palabra:accompanying	Frec:4	LogProb:0.000012577445621413855
Palabra:accomplices	Frec:0	LogProb:0.000002515489124282771
Palabra:accomplish	Frec:2	LogProb:0.000007546467372848313
Palabra:accomplished	Frec:4	LogProb:0.000012577445621413855
Palabra:accomplishedclimber	Frec:0	LogProb:0.000002515489124282771
Palabra:accomplishes	Frec:2	LogProb:0.000007546467372848313
Palabra:accomplishing	Frec:3	LogProb:0.000010061956497131085
Palabra:accomplishment	Frec:0	LogProb:0.000002515489124282771
Palabra:accomplishments	Frec:0	LogProb:0.000002515489124282771
Palabra:accord	Frec:6	LogProb:0.000017608423869979397
Palabra:accordance	Frec:7	LogProb:0.00002012391299426217
Palabra:accorded	Frec:0	LogProb:0.000002515489124282771
Palabra:according	Frec:38	LogProb:0.00009810407584702807
Palabra:accordingly	Frec:9	LogProb:0.00002515489124282771
Palabra:accordion	Frec:0	LogProb:0.000002515489124282771
Palabra:account	Frec:3	LogProb:0.000010061956497131085
Palabra:accountability	Frec:0	LogProb:0.000002515489124282771
Palabra:accountable	Frec:0	LogProb:0.000002515489124282771
Palabra:accountancy	Frec:0	LogProb:0.000002515489124282771
Palabra:accountant	Frec:0	LogProb:0.000002515489124282771
Palabra:accountants	Frec:0	LogProb:0.000002515489124282771
Palabra:accounted	Frec:0	LogProb:0.000002515489124282771
Palabra:accounting	Frec:6	LogProb:0.000017608423869979397
Palabra:accountmasterly	Frec:0	LogProb:0.000002515489124282771
Palabra:accounts	Frec:5	LogProb:0.000015092934745696626
Palabra:accouting	Frec:0	LogProb:0.000002515489124282771
Palabra:accox	Frec:0	LogProb:0.000002515489124282771
Palabra:accreditation	Frec:0	LogProb:0.000002515489124282771
Palabra:accredited	Frec:0	LogProb:0.000002515489124282771
Palabra:accretions	Frec:0	LogProb:0.000002515489124282771
Palabra:accros	Frec:1	LogProb:0.000005030978248565542
Palabra:accross	Frec:0	LogProb:0.000002515489124282771
Palabra:accrued	Frec:0	LogProb:0.000002515489124282771
Palabra:acctltpch	Frec:0	LogProb:0.000002515489124282771
Palabra:accu	Frec:0	LogProb:0.000002515489124282771
Palabra:accucore	Frec:1	LogProb:0.000005030978248565542
Palabra:accumulate	Frec:1	LogProb:0.000005030978248565542
Palabra:accumulated	Frec:3	LogProb:0.000010061956497131085
Palabra:accumulates	Frec:0	LogProb:0.000002515489124282771
Palabra:accumulating	Frec:1	LogProb:0.000005030978248565542
Palabra:accumulation	Frec:3	LogProb:0.000010061956497131085
Palabra:accumulations	Frec:0	LogProb:0.000002515489124282771
Palabra:accupressure	Frec:0	LogProb:0.000002515489124282771
